Артикул;pname;"prevprice";;;"curprice";;;cengroup;"ostatki";nds?;CURRENCY
0432;Кастрюля SONRIZO 20см /2,2л со стеклянной крышкой с силиконовым ободком Материал: Кованый алюминий, индукционное дно, 3-х слойное антипригарное мраморное покрытие Excilon, бакелит с покрытием Soft Touch;4513,00;руб.;шт;3160,00;руб.;шт;Акция -30%;50;N;RUB
0433;Кастрюля SONRIZO 24см/4,0л со стеклянной крышкой с силиконовым ободком Материал: Кованый алюминий, индукционное дно, 3-х слойное антипригарное мраморное покрытие Excilon, бакелит с покрытием Soft Touch;5610,00;руб.;шт;3927,00;руб.;шт;Акция -30%;50;N;RUB
0445;Сковорода BLISS 28х5,8 см. оранжевая, алюминий, индукционное дно, антипригарное покрытие Greblon;5135,00;руб.;шт;3595,00;руб.;шт;Акция -30%;50;N;RUB
0449;Сковорода GEMIOLA 20х5см. литой алюминий, индукционное дно, антипригарное покрытие ILAG ULTINATE;3263,00;руб.;шт;2285,00;руб.;шт;Акция -30%;50;N;RUB
0455;Сковорода GEMIOLA 26х6см. литой алюминий, индукционное дно, антипригарное покрытие ILAG ULTINATE;4720,00;руб.;шт;3304,00;руб.;шт;Акция -30%;50;N;RUB
0457;Сковорода GEMIOLA 28х6см. литой алюминий, индукционное дно, антипригарное покрытие ILAG ULTINATE;5227,00;руб.;шт;3659,00;руб.;шт;Акция -30%;50;N;RUB
0458;Сковорода GEMIOLA 28х6см. литой алюминий, индукционное дно, антипригарное покрытие ILAG ULTINATE;5227,00;руб.;шт;3659,00;руб.;шт;Акция -30%;50;N;RUB
0459;Сковорода COMFORT 24х4,5см Материал: алюминий, индукционное дно, внутри керамическое покрытие Excilon, бакелитовая ручка;4605,00;руб.;шт;2900,00;руб.;шт;Распродажа;50;N;RUB
0460;Сковорода COMFORT 28х6см Материал: алюминий, индукционное дно, внутри керамическое покрытие Excilon, бакелитовая ручка;5644,00;руб.;шт;3299,00;руб.;шт;Распродажа;50;N;RUB
0461;Кастрюля COMFORT 20x9,1см/2.4л со стеклянной крышкой  Материал: алюминий, индукционное дно, внутри керамическое покрытие Excilon, бакелитовая ручка;6054,00;руб.;шт;3900,00;руб.;шт;Распродажа;50;N;RUB
0462;Кастрюля COMFORT 24x11,5см/4.4л со стеклянной крышкой  Материал: алюминий, индукционное дно, внутри керамическое покрытие Excilon, бакелитовая ручка;8085,00;руб.;шт;4400,00;руб.;шт;Распродажа;50;N;RUB
0463;Ковш COMFORT 16x7,7,5см/1,3л со стеклянной крышкой  Материал: алюминий, индукционное дно, внутри керамическое покрытие Excilon, бакелитовая ручка;4909,00;руб.;шт;2900,00;руб.;шт;Распродажа;50;N;RUB
0464;Сковорода ANTEA 24см Материал: Литой алюминий, индукционное дно, 3-х слойное антипригарное мраморное покрытие Pfluon, бакелит с покрытием Soft Touch;4235,00;руб.;шт;3499,00;руб.;шт;Распродажа;50;N;RUB
0465;Сковорода ANTEA 26см Материал: Литой алюминий, индукционное дно, 3-х слойное антипригарное мраморное покрытие Pfluon, бакелит с покрытием Soft Touch;4332,00;руб.;шт;2899,00;руб.;шт;Распродажа;50;N;RUB
0466;Ковш ANTEA 18см /1,7л со стеклянной крышкой  Материал: Литой алюминий, индукционное дно, 3-х слойное антипригарное мраморное покрытие Pfluon, бакелит с покрытием Soft Touch;4080,00;руб.;шт;3499,00;руб.;шт;Распродажа;50;N;RUB
0467;Кастрюля ANTEA 20см /2,5л со стеклянной крышкой Материал: Литой алюминий, индукционное дно, 3-х слойное антипригарное мраморное покрытие Pfluon, бакелит с покрытием Soft Touch, силикон;4476,00;руб.;шт;3899,00;руб.;шт;Распродажа;50;N;RUB
0468;Кастрюля ANTEA 24см /4,1л со стеклянной крышкой Материал: Литой алюминий, индукционное дно, 3-х слойное антипригарное мраморное покрытие Pfluon, бакелит с покрытием Soft Touch, силикон;5660,00;руб.;шт;4899,00;руб.;шт;Распродажа;50;N;RUB
0469;Набор посуды ANTEA 7пр. Материал: Литой алюминий, индукционное дно, 3-х слойное антипригарное мраморное покрытие Pfluon, бакелит с покрытием Soft Touch, силикон. 18см/1,7л, 20см/2,5л, 24см/4,1л, 26см;18192,00;руб.;шт;8999,00;руб.;шт;Распродажа;50;N;RUB
0472;Сковорода EXPLOSION 20х4,5см из литого алюминия, с бакелитовой ручкой,  с индукционным дном, с антипригарным мраморным покрытием Whitford marble. Толщина: 5,0мм/1,8мм;3744,00;руб.;шт;1872,00;руб.;шт;Акция -50%;50;N;RUB
0474;Сковорода EXPLOSION 24х5см из литого алюминия, с бакелитовой ручкой,  с индукционным дном, с антипригарным мраморным покрытием Whitford marble. Толщина: 5,0мм/2,0мм;4723,00;руб.;шт;2362,00;руб.;шт;Акция -50%;50;N;RUB
